Team,BGR,,Team,KAERI,,Team,NARI,,Team,NWMO,,Team,SSM-UU,,Team,SURAO,,Team,CNSC
Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture 
Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4
Sim ID,4BGR-DA,,Sim ID,4KAERI-DA,,Sim ID,4NARI-EP,,Sim ID,4NWMO-DA,,Sim ID,4SSM-UU-DA,,Sim ID,4SURAO-EA,,Sim ID,4CNSC-DA
Approach,DFN ADE,,Approach,DFN,,Approach,ECPM & Particle tracking,,Approach,DFN ADE (COMSOL),,Approach,DFN,,Approach,CPM with zero matrix porosity,,Approach,With COMSOL ver 6.0
,,,,,,,,,,,,,,,,,,conservative,
Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj
,,,0.92,0.279,,8.07E-01,1.02E-02,,0.007845505,-1.29E-34,,3.20E-05,-3.89E-72,,4.05,9.76E-01,,1.991532943,0.94848
,,,0.93,0.336,,8.08E-01,1.03E-02,,0.008061566,-1.29E-34,,3.24E-05,-3.96E-72,,4.1,9.76E-01,,2.056430147,0.95156
,,,0.94,0.381,,8.10E-01,1.04E-02,,0.008277627,-1.29E-34,,3.27E-05,-4.03E-72,,4.15,9.77E-01,,2.121327351,0.95434
,,,0.95,0.414,,8.10E-01,1.05E-02,,0.008493688,-1.29E-34,,3.31E-05,-4.10E-72,,4.2,9.77E-01,,2.186224554,0.95691
,,,0.96,0.437,,8.13E-01,1.06E-02,,0.008709749,-1.29E-34,,3.35E-05,-4.16E-72,,4.25,9.78E-01,,2.251121758,0.95927
,,,0.97,0.455,,8.21E-01,1.07E-02,,0.00892581,-1.29E-34,,3.39E-05,-4.23E-72,,4.3,9.78E-01,,2.316018962,0.96143
,,,0.98,0.47,,8.24E-01,1.08E-02,,0.009141871,-1.29E-34,,3.43E-05,-4.29E-72,,4.35,9.79E-01,,2.380916166,0.96341
,,,0.99,0.484,,8.36E-01,1.09E-02,,0.009357932,-1.29E-34,,3.47E-05,-4.35E-72,,4.4,9.79E-01,,2.44581337,0.96525
,,,1,0.496,,8.45E-01,1.10E-02,,0.009573993,-1.29E-34,,3.51E-05,-4.41E-72,,4.45,9.79E-01,,2.510710574,0.96696
,,,1.01,0.507,,8.53E-01,1.11E-02,,0.009790054,-1.29E-34,,3.55E-05,-4.46E-72,,4.5,9.80E-01,,2.575607778,0.96855
,,,1.02,0.516,,8.53E-01,1.12E-02,,0.010006115,-1.29E-34,,3.59E-05,-4.51E-72,,4.55,9.80E-01,,2.640504981,0.97006
,,,1.03,0.525,,8.56E-01,1.13E-02,,0.010222176,-1.29E-34,,3.63E-05,-4.56E-72,,4.6,9.80E-01,,2.705402185,0.97147
,,,1.04,0.533,,8.62E-01,1.14E-02,,0.010438237,-1.29E-34,,3.67E-05,-4.60E-72,,4.65,9.81E-01,,2.770299389,0.97281
,,,1.05,0.54,,8.66E-01,1.15E-02,,0.010654298,-1.29E-34,,3.72E-05,-4.65E-72,,4.7,9.81E-01,,2.835196593,0.97407
